	Dasypus hybridus	Dasypus septemcinctus	Dasypus sabanicola	Dasypus yepesi	Dasypus pilosus	Dasypus novemcinctus	Dasypus kappleri	Zaedyus pichiy	Chaetophractus vellerosus	Chaetophractus villosus	Euphractus sexcinctus	Tolypeutes matacus	Tolypeutes tricinctus	Cabassous centralis	Cabassous unicinctus	Cabassous chacoensis	Cabassous tatouay	Priodontes maximus	Chlamyphorus truncatus	Calyptophractus retusus	Megatherium americanum	Megalonyx jeffersonii	Choloepus hoffmanni	Choloepus didactylus	Mylodon darwinii	Bradypus tridactylus	Bradypus variegatus	Bradypus pygmaeus	Bradypus torquatus	Nothrotheriops shastensis	Acratocnus ye	Parocnus serus	Tamandua mexicana	Tamandua tetradactyla	Myrmecophaga tridactyla	Cyclopes didactylus	Monodelphis domestica
Dasypus hybridus	1	0.976	0.926	0.926	0.922	0.927	0.88	0.784	0.786	0.781	0.78	0.777	0.78	0.776	0.778	0.776	0.778	0.775	0.764	0.765	0.699	0.709	0.719	0.721	0.72	0.713	0.71	0.713	0.716	0.7	0.698	0.693	0.72	0.718	0.718	0.712	0.665
Dasypus septemcinctus	0.976	1	0.921	0.916	0.912	0.911	0.891	0.796	0.798	0.793	0.791	0.79	0.775	0.775	0.789	0.788	0.788	0.787	0.775	0.778	0.713	0.723	0.732	0.733	0.733	0.717	0.715	0.713	0.72	0.714	0.712	0.706	0.733	0.731	0.731	0.724	0.664
Dasypus sabanicola	0.926	0.921	1	0.979	0.942	0.943	0.882	0.787	0.788	0.786	0.783	0.782	0.782	0.771	0.778	0.776	0.778	0.777	0.764	0.766	0.702	0.711	0.724	0.725	0.723	0.713	0.711	0.71	0.716	0.7	0.696	0.692	0.725	0.723	0.721	0.713	0.666
Dasypus yepesi	0.926	0.916	0.979	1	0.944	0.94	0.878	0.786	0.787	0.785	0.781	0.778	0.782	0.77	0.773	0.772	0.774	0.776	0.764	0.765	0.702	0.711	0.72	0.722	0.72	0.712	0.711	0.709	0.715	0.7	0.697	0.693	0.723	0.722	0.718	0.711	0.665
Dasypus pilosus	0.922	0.912	0.942	0.944	1	0.936	0.875	0.781	0.781	0.782	0.777	0.774	0.783	0.77	0.772	0.77	0.772	0.77	0.759	0.763	0.696	0.705	0.72	0.723	0.719	0.714	0.71	0.707	0.712	0.695	0.692	0.689	0.72	0.719	0.718	0.711	0.667
Dasypus novemcinctus	0.927	0.911	0.943	0.94	0.936	1	0.872	0.78	0.78	0.778	0.776	0.774	0.778	0.768	0.772	0.77	0.772	0.77	0.758	0.759	0.695	0.702	0.715	0.719	0.716	0.71	0.708	0.712	0.712	0.694	0.691	0.687	0.718	0.717	0.714	0.708	0.662
Dasypus kappleri	0.88	0.891	0.882	0.878	0.875	0.872	1	0.794	0.796	0.793	0.791	0.794	0.779	0.775	0.789	0.788	0.788	0.789	0.775	0.782	0.718	0.726	0.736	0.736	0.735	0.719	0.72	0.716	0.724	0.718	0.715	0.71	0.732	0.731	0.729	0.718	0.66
Zaedyus pichiy	0.784	0.796	0.787	0.786	0.781	0.78	0.794	1	0.941	0.934	0.927	0.821	0.808	0.805	0.824	0.821	0.823	0.834	0.817	0.817	0.723	0.732	0.742	0.74	0.742	0.716	0.721	0.718	0.725	0.725	0.722	0.719	0.738	0.736	0.735	0.731	0.662
Chaetophractus vellerosus	0.786	0.798	0.788	0.787	0.781	0.78	0.796	0.941	1	0.933	0.928	0.817	0.807	0.807	0.824	0.819	0.825	0.831	0.814	0.814	0.72	0.729	0.739	0.738	0.74	0.718	0.72	0.719	0.726	0.723	0.721	0.717	0.736	0.735	0.73	0.727	0.661
Chaetophractus villosus	0.781	0.793	0.786	0.785	0.782	0.778	0.793	0.934	0.933	1	0.92	0.818	0.805	0.804	0.823	0.818	0.821	0.83	0.813	0.815	0.719	0.727	0.742	0.743	0.743	0.72	0.719	0.716	0.722	0.722	0.718	0.716	0.739	0.738	0.735	0.732	0.664
